Source sentence,Answer sentence
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,发生死伤案是造成死亡的原因事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府重视是造成死亡的后续事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府派出负责人是政府重视的后续事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,负责人赶赴现场是政府派出负责人的后续事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,负责人调查是负责人赶赴现场的后续事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,负责人赶赴现场是造成死亡的无关事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,造成死亡是政府派出负责人的无关事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府派出负责人是发生死伤案的无关事件。
发生死伤案，造成死亡，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府重视是发生死伤案的无关事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,发生死伤案是造成受伤的原因事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府重视是造成受伤的后续事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府派出负责人是政府重视的后续事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,负责人赶赴现场是政府派出负责人的后续事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,负责人调查是负责人赶赴现场的后续事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,发生死伤案是政府重视的无关事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府派出负责人是发生死伤案的无关事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府重视是负责人赶赴现场的无关事件。
发生死伤案，造成受伤，政府重视，政府派出负责人，负责人赶赴现场，负责人调查，,政府派出负责人是发生死伤案的无关事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,发生打架斗殴事件是事件造成死亡的原因事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,赶赴现场是事件造成死亡的后续事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,开展工作是赶赴现场的后续事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,警方展开追捕是开展工作的后续事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,开展工作是发生打架斗殴事件的无关事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,开展工作是发生打架斗殴事件的无关事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,发生打架斗殴事件是开展工作的无关事件。
发生打架斗殴事件，事件造成死亡，赶赴现场，开展工作，警方展开追捕，,开展工作是事件造成死亡的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,厂房/堆放物焚毁是加工厂发生火灾事故的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,工人撤离是厂房/堆放物焚毁的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,小孩扔电线是工人撤离的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,小孩扔电线是导致电线摇摆的原因事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,小孩扔电线是加工厂发生火灾事故的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,加工厂发生火灾事故是工人撤离的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,加工厂发生火灾事故是工人撤离的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致电线摇摆，,导致电线摇摆是加工厂发生火灾事故的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,厂房/堆放物焚毁是加工厂发生火灾事故的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,工人撤离是厂房/堆放物焚毁的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,小孩扔电线是工人撤离的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,小孩扔电线是导致短路的原因事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,加工厂发生火灾事故是工人撤离的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,导致短路是工人撤离的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,工人撤离是加工厂发生火灾事故的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致短路，,加工厂发生火灾事故是工人撤离的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,厂房/堆放物焚毁是加工厂发生火灾事故的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,工人撤离是厂房/堆放物焚毁的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,小孩扔电线是工人撤离的后续事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,小孩扔电线是导致着火的原因事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,工人撤离是加工厂发生火灾事故的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,加工厂发生火灾事故是工人撤离的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,厂房/堆放物焚毁是小孩扔电线的无关事件。
加工厂发生火灾事故，厂房/堆放物焚毁，工人撤离，小孩扔电线，导致着火，,小孩扔电线是加工厂发生火灾事故的无关事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,窝点发生爆炸是事故造成死亡的原因事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,陈亚春/谢金坚赶赴现场是事故造成死亡的后续事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,陈亚春/谢金坚指挥抢救是陈亚春/谢金坚赶赴现场的后续事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,公安部门开展取证工作是陈亚春/谢金坚指挥抢救的后续事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,彻查原因是公安部门开展取证工作的后续事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,调查原因是彻查原因的后续事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,进行善后工作是调查原因的后续事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,彻查原因是陈亚春/谢金坚指挥抢救的无关事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,调查原因是陈亚春/谢金坚赶赴现场的无关事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,调查原因是陈亚春/谢金坚指挥抢救的无关事件。
窝点发生爆炸，事故造成死亡，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,窝点发生爆炸是陈亚春/谢金坚赶赴现场的无关事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,窝点发生爆炸是事故造成受伤的原因事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,陈亚春/谢金坚赶赴现场是事故造成受伤的后续事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,陈亚春/谢金坚指挥抢救是陈亚春/谢金坚赶赴现场的后续事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,公安部门开展取证工作是陈亚春/谢金坚指挥抢救的后续事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,彻查原因是公安部门开展取证工作的后续事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,调查原因是彻查原因的后续事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,进行善后工作是调查原因的后续事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,陈亚春/谢金坚赶赴现场是彻查原因的无关事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,陈亚春/谢金坚指挥抢救是彻查原因的无关事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,彻查原因是事故造成受伤的无关事件。
窝点发生爆炸，事故造成受伤，陈亚春/谢金坚赶赴现场，陈亚春/谢金坚指挥抢救，公安部门开展取证工作，彻查原因，调查原因，进行善后工作，,调查原因是陈亚春/谢金坚赶赴现场的无关事件。
暴雨引发滑落事件，导致死亡，受伤人员转移医院，进行医治，,暴雨引发滑落事件是导致死亡的原因事件。
暴雨引发滑落事件，导致死亡，受伤人员转移医院，进行医治，,受伤人员转移医院是导致死亡的后续事件。
暴雨引发滑落事件，导致死亡，受伤人员转移医院，进行医治，,进行医治是受伤人员转移医院的后续事件。
暴雨引发滑落事件，导致重伤，受伤人员转移医院，进行医治，,暴雨引发滑落事件是导致重伤的原因事件。
暴雨引发滑落事件，导致重伤，受伤人员转移医院，进行医治，,受伤人员转移医院是导致重伤的后续事件。
暴雨引发滑落事件，导致重伤，受伤人员转移医院，进行医治，,进行医治是受伤人员转移医院的后续事件。
暴雨引发滑落事件，导致轻伤，救援工作完成，受伤人员转移医院，进行医治，,暴雨引发滑落事件是救援工作完成的原因事件。
暴雨引发滑落事件，导致轻伤，救援工作完成，受伤人员转移医院，进行医治，,受伤人员转移医院是救援工作完成的后续事件。
暴雨引发滑落事件，导致轻伤，救援工作完成，受伤人员转移医院，进行医治，,进行医治是受伤人员转移医院的后续事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,发生坍塌事故是造成死亡的原因事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,村民/警察赶到现场是造成死亡的后续事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,实施救援是村民/警察赶到现场的后续事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,医生抢救是实施救援的后续事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,被埋者身亡是医生抢救的后续事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,村民/警察赶到现场是发生坍塌事故的无关事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,实施救援是造成死亡的无关事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,造成死亡是医生抢救的无关事件。
发生坍塌事故，造成死亡，村民/警察赶到现场，实施救援，医生抢救，被埋者身亡，,村民/警察赶到现场是医生抢救的无关事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,段发生交通事故是事故造成死亡的原因事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员赶赴现场是事故造成死亡的后续事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员指挥扑救是政府/官员赶赴现场的后续事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员进行疏散是政府/官员指挥扑救的后续事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,大火被-扑灭是政府/官员进行疏散的后续事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员指挥扑救是事故造成死亡的无关事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,段发生交通事故是政府/官员赶赴现场的无关事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员进行疏散是政府/官员赶赴现场的无关事件。
段发生交通事故，事故造成死亡，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员赶赴现场是段发生交通事故的无关事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,段发生交通事故是事故造成受伤的原因事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员赶赴现场是事故造成受伤的后续事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员指挥扑救是政府/官员赶赴现场的后续事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员进行疏散是政府/官员指挥扑救的后续事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,大火被-扑灭是政府/官员进行疏散的后续事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员赶赴现场是政府/官员进行疏散的无关事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,段发生交通事故是政府/官员指挥扑救的无关事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,段发生交通事故是政府/官员指挥扑救的无关事件。
段发生交通事故，事故造成受伤，政府/官员赶赴现场，政府/官员指挥扑救，政府/官员进行疏散，大火被-扑灭，,政府/官员赶赴现场是政府/官员进行疏散的无关事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,人甩出是发生侧翻事故的后续事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,人坠落桥是人甩出的后续事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,人身亡是人坠落桥的后续事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,伤者被-送往医院是人身亡的后续事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,救治是伤者被-送往医院的后续事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,人身亡是人甩出的无关事件。
发生侧翻事故，人甩出，人坠落桥，人身亡，伤者被-送往医院，救治，,人坠落桥是伤者被-送往医院的无关事件。
